species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Mm Hs	CHAT	Interneurons	NA	0.001	choline O-acetyltransferase	protein-coding gene	1	Ectoderm	Brain	NA	0.0101523	0.0	0.00165646
Mm Hs	VSX2	Interneurons	RET1|HOX10|CHX10	0.004	visual system homeobox 2	protein-coding gene	1	Ectoderm	Brain	NA	0.0	0.0	0.00540151
Mm Hs	EN1	Interneurons	NA	0.003	engrailed homeobox 1	protein-coding gene	1	Ectoderm	Brain	NA	0.0	0.0	0.00338495
Mm Hs	ETV1	Interneurons	ER81	0.04	ETS variant 1	protein-coding gene	1	Ectoderm	Brain	NA	0.13198	0.00840608	0.0483255
Mm Hs	EVX1	Interneurons	NA	0.0	even-skipped homeobox 1	protein-coding gene	1	Ectoderm	Brain	NA	0.0	0.00258649	7.20202e-05
Mm Hs	GAD1	Interneurons	GAD	0.032	glutamate decarboxylase 1	protein-coding gene	1	Ectoderm	Brain	NA	0.162437	0.00355642	0.0388189
Mm Hs	ISL1	Interneurons	Isl-1|ISLET1	0.03	ISL LIM homeobox 1	protein-coding gene	1	Ectoderm	Brain	NA	0.0609137	0.0139024	0.0339215
Mm Hs	LHX1	Interneurons	LIM-1	0.011	LIM homeobox 1	protein-coding gene	1	Ectoderm	Brain	NA	0.0	0.00678952	0.0121714
Mm Hs	LHX5	Interneurons	NA	0.009	LIM homeobox 5	protein-coding gene	1	Ectoderm	Brain	NA	0.0	0.00226317	0.0113792
Mm Hs	LHX3	Interneurons	NA	0.001	LIM homeobox 3	protein-coding gene	1	Ectoderm	Brain	NA	0.0	0.0	0.000936262
Mm Hs	LHX6	Interneurons	LHX6.1	0.012	LIM homeobox 6	protein-coding gene	1	Ectoderm	Brain	NA	0.0253807	0.00452635	0.0146201
Mm Hs	GRM1	Interneurons	GPRC1A|mGlu1|MGLUR1|PPP1R85	0.004	glutamate metabotropic receptor 1	protein-coding gene	1	Ectoderm	Brain	NA	0.137056	0.0	0.00360101
Mm Hs	NPY	Interneurons	PYY4	0.016	neuropeptide Y	protein-coding gene	1	Ectoderm	Brain	NA	0.0558376	0.00581959	0.0181491
Mm Hs	OPRM1	Interneurons	MOR1	0.0	opioid receptor mu 1	protein-coding gene	1	Ectoderm	Brain	NA	0.0	0.0029098	0.0
Mm Hs	GRIN2D	Interneurons	GluN2D|EB11|NR2D|NMDAR2D	0.002	glutamate ionotropic receptor NMDA type subunit 2D	protein-coding gene	1	Ectoderm	Brain	NA	0.0152284	0.0	0.00201656
Mm Hs	NOS1	Interneurons	nNOS	0.004	nitric oxide synthase 1	protein-coding gene	1	Ectoderm	Brain	NA	0.035533	0.0	0.00388909
Mm Hs	PVALB	Interneurons	D22S749	0.005	parvalbumin	protein-coding gene	1	Ectoderm	Brain	NA	0.0304569	0.00258649	0.00554555
Mm Hs	PAX2	Interneurons	NA	0.002	paired box 2	protein-coding gene	1	Ectoderm	Brain	NA	0.0	0.00355642	0.00158444
Mm Hs	SST	Interneurons	SMST	0.029	somatostatin	protein-coding gene	1	Ectoderm	Brain	NA	0.0456853	0.0491432	0.0257832
Mm Hs	TACR1	Interneurons	SPR|NK1R|TAC1R	0.001	tachykinin receptor 1	protein-coding gene	1	Ectoderm	Brain	NA	0.0152284	0.0	0.0010803
Mm Hs	VIP	Interneurons	NA	0.003	vasoactive intestinal peptide	protein-coding gene	1	Ectoderm	Brain	NA	0.0152284	0.0	0.00266475
Mm Hs	CRHR1	Interneurons	CRF-R|CRF1|CRHR	0.002	corticotropin releasing hormone receptor 1	protein-coding gene	1	Ectoderm	Brain	NA	0.0253807	0.0	0.00165646
Mm Hs	PACSIN1	Interneurons	SDPI	0.043	protein kinase C and casein kinase substrate in neurons 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.583756	0.0	0.0472452
Mm Hs	SYN1	Interneurons	NA	0.03	synapsin I	protein-coding gene	NA	Ectoderm	Brain	NA	0.568528	0.000646621	0.0308246
Mm Hs	FGF12	Interneurons	FHF1|FGF12B	0.016	fibroblast growth factor 12	protein-coding gene	NA	Ectoderm	Brain	NA	0.167513	0.00452635	0.0168527
Mm Hs	NXPH1	Interneurons	NA	0.024	neurexophilin 1	protein-coding gene	1	Ectoderm	Brain	NA	0.0812183	0.000323311	0.0295283
Mm Hs	SYT7	Interneurons	IPCA-7|SYT-VII|MGC150517|PCANAP7	0.025	synaptotagmin 7	protein-coding gene	NA	Ectoderm	Brain	NA	0.720812	0.00646621	0.0212459
Mm Hs	PTPRO	Interneurons	PTPU2|GLEPP1|PTP-U2|PTP-oc|NPHS6	0.012	protein tyrosine phosphatase, receptor type O	protein-coding gene	1	Ectoderm	Brain	NA	0.0659898	0.00775946	0.0126035
Mm Hs	DLGAP1	Interneurons	GKAP|SAPAP1|DAP-1	0.039	DLG associated protein 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.791878	0.00226317	0.0383867
Mm Hs	GNG4	Interneurons	NA	0.014	G protein subunit gamma 4	protein-coding gene	NA	Ectoderm	Brain	NA	0.0812183	0.0171355	0.0120994
Mm Hs	HAP1	Interneurons	hHLP1|HIP5	0.044	huntingtin associated protein 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.147208	0.000646621	0.0546633
Mm Hs	SHISA8	Interneurons	Orf26|C22orf17	0.005	shisa family member 8	protein-coding gene	NA	Ectoderm	Brain	NA	0.0507614	0.0	0.00525747
Mm Hs	PCBP3	Interneurons	FLJ44028|PCBP3-OT1|PCBP3OT	0.021	poly(rC) binding protein 3	protein-coding gene	NA	Ectoderm	Brain	NA	0.0913706	0.00258649	0.0259273
Mm Hs	ABAT	Interneurons	GABAT	0.035	4-aminobutyrate aminotransferase	protein-coding gene	NA	Ectoderm	Brain	NA	0.22335	0.00355642	0.0399712
Mm Hs	PCP4L1	Interneurons	IQM1	0.046	Purkinje cell protein 4 like 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.162437	0.0	0.0576161
Mm Hs	GAL	Interneurons	GMAP|GAL-GMAP|GLNN|GALN	0.014	galanin and GMAP prepropeptide	protein-coding gene	NA	Ectoderm	Brain	NA	0.0253807	0.0190753	0.010875
Mm Hs	TH	Interneurons	DYT5b	0.002	tyrosine hydroxylase	protein-coding gene	NA	Ectoderm	Brain	NA	0.0406091	0.00193986	0.00216061
Mm Hs	SYNPR	Interneurons	MGC26651	0.024	synaptoporin	protein-coding gene	NA	Ectoderm	Brain	NA	0.0964467	0.000969932	0.0290961
Mm Hs	TRH	Interneurons	NA	0.002	thyrotropin releasing hormone	protein-coding gene	NA	Ectoderm	Brain	NA	0.0406091	0.0	0.0018005
Mm Hs	ADCY8	Interneurons	HBAC1|AC8|ADCY3	0.001	adenylate cyclase 8	protein-coding gene	NA	Ectoderm	Brain	NA	0.035533	0.0	0.000288081
Mm Hs	CTGF	Interneurons	IGFBP8|CCN2	0.029	connective tissue growth factor	protein-coding gene	NA	Ectoderm	Brain	NA	0.0152284	0.102813	0.0110911
Mm Hs	EML5	Interneurons	HuEMAP-2	0.01	echinoderm microtubule associated protein like 5	protein-coding gene	NA	Ectoderm	Brain	NA	0.0152284	0.0	0.0133237
Mm Hs	TMEM132D	Interneurons	KIAA1944|MOLT|PPP1R153	0.0	transmembrane protein 132D	protein-coding gene	NA	Ectoderm	Brain	NA	0.0152284	0.0	0.0
Mm Hs	BACE1	Interneurons	BACE	0.023	beta-secretase 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.071066	0.00387973	0.0277278
Mm Hs	CACNG2	Interneurons	stargazin|MGC138502|MGC138504	0.015	calcium voltage-gated channel auxiliary subunit gamma 2	protein-coding gene	NA	Ectoderm	Brain	NA	0.22335	0.0	0.0159165
Mm Hs	ISCA1	Interneurons	MGC4276|ISA1|hIscA|HBLD2	0.053	iron-sulfur cluster assembly 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.116751	0.118978	0.0336334
Mm Hs	LPGAT1	Interneurons	KIAA0205|FAM34A1|NET8|FAM34A	0.044	lysophosphatidylglycerol acyltransferase 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.406091	0.0229551	0.0452287
Mm Hs	NAT14	Interneurons	KLP1	0.016	N-acetyltransferase 14 (putative)	protein-coding gene	NA	Ectoderm	Brain	NA	0.258883	0.00678952	0.0146201
Mm Hs	SLC12A5	Interneurons	KIAA1176|KCC2	0.052	solute carrier family 12 member 5	protein-coding gene	NA	Ectoderm	Brain	NA	0.695431	0.00387973	0.0554555
Mm Hs	DEPTOR	Interneurons	DEP.6|FLJ12428|DEPDC6	0.012	DEP domain containing MTOR interacting protein	protein-coding gene	NA	Ectoderm	Brain	NA	0.0558376	0.0029098	0.014188
Mm Hs	SLC22A15	Interneurons	FLIPT1	0.017	solute carrier family 22 member 15	protein-coding gene	NA	Ectoderm	Brain	NA	0.121827	0.0	0.0203817
Mm Hs	PDE4A	Interneurons	DPDE2	0.014	phosphodiesterase 4A	protein-coding gene	NA	Ectoderm	Brain	NA	0.233503	0.00129324	0.0145481
Mm Hs	CACNA1I	Interneurons	Cav3.3	0.0	calcium voltage-gated channel subunit alpha1 I	protein-coding gene	NA	Ectoderm	Brain	NA	0.0101523	0.0	0.000504141
Mm Hs	FRYL	Interneurons	DKFZp686E205|AF4p12|MOR2|KIAA0826	0.031	FRY like transcription coactivator	protein-coding gene	NA	Ectoderm	Brain	NA	0.071066	0.0300679	0.0324811
Mm	CAR11	Interneurons	NA	0.025	carbonic anhydrase 11	protein coding gene	NA	Ectoderm	Brain	NA	0.522843	0.0	0.0244148
Mm Hs	SURF1	Interneurons	NA	0.062	SURF1, cytochrome c oxidase assembly factor	protein-coding gene	NA	Ectoderm	Brain	NA	0.116751	0.121888	0.0401873
Mm Hs	TRIM9	Interneurons	SPRING|RNF91	0.025	tripartite motif containing 9	protein-coding gene	NA	Ectoderm	Brain	NA	0.406091	0.000969932	0.0257112
Mm Hs	KCNC1	Interneurons	Kv3.1	0.033	potassium voltage-gated channel subfamily C member 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.248731	0.000323311	0.0385308
Mm Hs	RAB3B	Interneurons	NA	0.024	RAB3B, member RAS oncogene family	protein-coding gene	NA	Ectoderm	Brain	NA	0.13198	0.019722	0.0244869
Mm Hs	CDK17	Interneurons	PCTAIRE2|PCTK2	0.023	cyclin dependent kinase 17	protein-coding gene	NA	Ectoderm	Brain	NA	0.233503	0.0132557	0.0237667
Mm Hs	RGS17	Interneurons	RGSZ2|RGS-17	0.033	regulator of G protein signaling 17	protein-coding gene	NA	Ectoderm	Brain	NA	0.19797	0.00387973	0.0387468
Mm Hs	ABCC5	Interneurons	MRP5|SMRP|EST277145|MOAT-C	0.045	ATP binding cassette subfamily C member 5	protein-coding gene	NA	Ectoderm	Brain	NA	0.162437	0.00452635	0.0546633
Mm Hs	RAB26	Interneurons	NA	0.002	RAB26, member RAS oncogene family	protein-coding gene	NA	Ectoderm	Brain	NA	0.0406091	0.00549628	0.000648181
Mm Hs	VLDLR	Interneurons	CARMQ1|CHRMQ1|VLDLRCH	0.027	very low density lipoprotein receptor	protein-coding gene	NA	Ectoderm	Brain	NA	0.0558376	0.00387973	0.0326251
Mm Hs	CACNG7	Interneurons	NA	0.003	calcium voltage-gated channel auxiliary subunit gamma 7	protein-coding gene	NA	Ectoderm	Brain	NA	0.0761421	0.0	0.00237667
Mm Hs	INAFM1	Interneurons	PRR24	0.022	InaF motif containing 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.071066	0.0168122	0.0222542
Mm Hs	BRINP1	Interneurons	FAM5A|DBCCR1	0.015	BMP/retinoic acid inducible neural specific 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.456853	0.000323311	0.0123875
Mm Hs	PIANP	Interneurons	DKFZp547D2210|PANP|C12orf53	0.025	PILR alpha associated neural protein	protein-coding gene	NA	Ectoderm	Brain	NA	0.406091	0.0	0.0261433
Mm Hs	CPLX1	Interneurons	CPX-I	0.028	complexin 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.431472	0.0	0.0301044
Mm Hs	SHISA6	Interneurons	FLJ45455	0.002	shisa family member 6	protein-coding gene	NA	Ectoderm	Brain	NA	0.0456853	0.0	0.00158444
Mm Hs	DHRS3	Interneurons	retSDR1|Rsdr1|RDH17|SDR16C1	0.073	dehydrogenase/reductase 3	protein-coding gene	NA	Ectoderm	Brain	NA	0.0152284	0.148723	0.0560317
Mm Hs	GRIA4	Interneurons	GluA4|GLURD|GLUR4	0.015	glutamate ionotropic receptor AMPA type subunit 4	protein-coding gene	NA	Ectoderm	Brain	NA	0.0659898	0.00355642	0.0174289
Mm Hs	NRSN2	Interneurons	dJ1103G7.6|C20orf98	0.035	neurensin 2	protein-coding gene	NA	Ectoderm	Brain	NA	0.208122	0.000646621	0.0412676
Mm Hs	CDHR1	Interneurons	KIAA1775|CORD15|RP65|PCDH21	0.003	cadherin related family member 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.071066	0.0	0.00309687
Mm Hs	ABR	Interneurons	MDB	0.033	ABR, RhoGEF and GTPase activating protein	protein-coding gene	NA	Ectoderm	Brain	NA	0.527919	0.000646621	0.0347137
Mm Hs	NRN1	Interneurons	NRN	0.023	neuritin 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.538071	0.0103459	0.0182211
Mm Hs	HIVEP2	Interneurons	MBP-2|HIV-EP2|MIBP1|ZAS2|Schnurri-2|ZNF40B	0.055	human immunodeficiency virus type I enhancer binding protein 2	protein-coding gene	NA	Ectoderm	Brain	NA	0.507614	0.00258649	0.0630176
Mm Hs	NXPH4	Interneurons	NPH4	0.002	neurexophilin 4	protein-coding gene	NA	Ectoderm	Brain	NA	0.0304569	0.00161655	0.00187252
Mm Hs	CDH4	Interneurons	NA	0.018	cadherin 4	protein-coding gene	NA	Ectoderm	Brain	NA	0.0507614	0.000323311	0.0221102
Mm Hs	CHST1	Interneurons	KSGal6ST	0.034	carbohydrate sulfotransferase 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.573604	0.013579	0.0330573
Mm Hs	SHISA9	Interneurons	NA	0.004	shisa family member 9	protein-coding gene	NA	Ectoderm	Brain	NA	0.137056	0.000323311	0.00367303
Mm Hs	EOMES	Interneurons	TBR2	0.021	eomesodermin	protein-coding gene	NA	Ectoderm	Brain	NA	0.0406091	0.00226317	0.0260713
Mm Hs	NMB	Interneurons	MGC2277|MGC3936|MGC17211	0.014	neuromedin B	protein-coding gene	NA	Ectoderm	Brain	NA	0.0609137	0.0265115	0.00763414
Mm Hs	LY6G6E	Interneurons	G6e|C6orf22	0.002	lymphocyte antigen 6 family member G6E	other	NA	Ectoderm	Brain	NA	0.0253807	0.0	0.00237667
Mm Hs	CALN1	Interneurons	CABP8	0.019	calneuron 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.472081	0.000323311	0.0180771
Mm Hs	CASK	Interneurons	LIN2|CAGH39|FGS4|TNRC8	0.043	calcium/calmodulin dependent serine protein kinase	protein-coding gene	NA	Ectoderm	Brain	NA	0.390863	0.00226317	0.050054
Mm Hs	CACNA1E	Interneurons	Cav2.3|BII|CACH6|CACNL1A6	0.025	calcium voltage-gated channel subunit alpha1 E	protein-coding gene	NA	Ectoderm	Brain	NA	0.456853	0.00193986	0.024847
Mm Hs	FAM81A	Interneurons	MGC26690	0.03	family with sequence similarity 81 member A	protein-coding gene	NA	Ectoderm	Brain	NA	0.558376	0.0	0.0311847
Mm Hs	CAMKV	Interneurons	MGC8407|VACAMKL	0.026	CaM kinase like vesicle associated	protein-coding gene	NA	Ectoderm	Brain	NA	0.538071	0.00323311	0.0253511
Mm Hs	ARHGAP21	Interneurons	KIAA1424|ARHGAP10	0.02	Rho GTPase activating protein 21	protein-coding gene	NA	Ectoderm	Brain	NA	0.035533	0.0139024	0.021318
Mm Hs	DDN	Interneurons	KIAA0749	0.008	dendrin	protein-coding gene	NA	Ectoderm	Brain	NA	0.324873	0.00129324	0.00489737
Mm Hs	SV2B	Interneurons	KIAA0735|HsT19680	0.01	synaptic vesicle glycoprotein 2B	protein-coding gene	NA	Ectoderm	Brain	NA	0.507614	0.000646621	0.00576161
Mm Hs	FRRS1L	Interneurons	CG-6|C9orf4	0.03	ferric chelate reductase 1 like	protein-coding gene	NA	Ectoderm	Brain	NA	0.690355	0.00129324	0.0278718
Mm Hs	ACSL4	Interneurons	ACS4|LACS4|FACL4|MRX63|MRX68	0.031	acyl-CoA synthetase long chain family member 4	protein-coding gene	NA	Ectoderm	Brain	NA	0.15736	0.0151956	0.0338495
Mm Hs	CAMK4	Interneurons	CaMK-GR	0.029	calcium/calmodulin dependent protein kinase IV	protein-coding gene	NA	Ectoderm	Brain	NA	0.563452	0.0329777	0.0212459
Mm Hs	NPTXR	Interneurons	NA	0.022	neuronal pentraxin receptor	protein-coding gene	NA	Ectoderm	Brain	NA	0.42132	0.0	0.0217501
Mm Hs	LINGO1	Interneurons	FLJ14594|LERN1|LRRN6A	0.02	leucine rich repeat and Ig domain containing 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.588832	0.00193986	0.0172848
Mm Hs	HPCAL4	Interneurons	HLP4|DKFZp761G122	0.014	hippocalcin like 4	protein-coding gene	NA	Ectoderm	Brain	NA	0.426396	0.000969932	0.0118113
Mm Hs	LMO3	Interneurons	Rhom-3|RBTNL2	0.011	LIM domain only 3	protein-coding gene	NA	Ectoderm	Brain	NA	0.22335	0.00743615	0.00885848
Mm Hs	LYPD1	Interneurons	MGC29643|LYPDC1	0.005	LY6/PLAUR domain containing 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.101523	0.0103459	0.00295283
Mm Hs	CHN1	Interneurons	ARHGAP2|n-chimerin|DURS2	0.038	chimerin 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.598985	0.0339476	0.0308246
Mm Hs	NRGN	Interneurons	NA	0.032	neurogranin	protein-coding gene	NA	Ectoderm	Brain	NA	0.497462	0.0113159	0.0303205
Mm Hs	SLC17A7	Interneurons	BNPI|VGLUT1	0.013	solute carrier family 17 member 7	protein-coding gene	NA	Ectoderm	Brain	NA	0.609137	0.0	0.00684192
Mm Hs	CAMK2A	Interneurons	KIAA0968|CAMKA	0.029	calcium/calmodulin dependent protein kinase II alpha	protein-coding gene	NA	Ectoderm	Brain	NA	0.659898	0.0	0.0262874
Mm Hs	PRKCB	Interneurons	PRKCB2|PKCB|PRKCB1	0.048	protein kinase C beta	protein-coding gene	NA	Ectoderm	Brain	NA	0.598985	0.0294213	0.0434282
Mm Hs	NCALD	Interneurons	NA	0.038	neurocalcin delta	protein-coding gene	NA	Ectoderm	Brain	NA	0.563452	0.00129324	0.0407634
Mm Hs	RAB15	Interneurons	NA	0.021	RAB15, member RAS oncogene family	protein-coding gene	NA	Ectoderm	Brain	NA	0.309645	0.0	0.0223263
Mm Hs	FBXW11	Interneurons	KIAA0696|Fbw1b|BTRCP2|BTRC2|Hos|Fbw11|FBXW1B	0.016	F-box and WD repeat domain containing 11	protein-coding gene	NA	Ectoderm	Brain	NA	0.0558376	0.0103459	0.0164926
Mm Hs	ADCY1	Interneurons	AC1|DFNB44	0.018	adenylate cyclase 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.461929	0.00129324	0.0157724
Mm Hs	FBXO11	Interneurons	FBX11|UBR6	0.014	F-box protein 11	protein-coding gene	NA	Ectoderm	Brain	NA	0.0659898	0.000646621	0.0166367
Mm Hs	IGSF21	Interneurons	MGC15730|RP11-121A23.1	0.004	immunoglobin superfamily member 21	protein-coding gene	NA	Ectoderm	Brain	NA	0.0812183	0.000646621	0.00352899
Mm Hs	SRGAP3	Interneurons	KIAA0411|MEGAP|WRP|ARHGAP14|SRGAP2	0.02	SLIT-ROBO Rho GTPase activating protein 3	protein-coding gene	NA	Ectoderm	Brain	NA	0.192893	0.0103459	0.0205978
Mm Hs	NTNG1	Interneurons	KIAA0976|Lmnt1	0.016	netrin G1	protein-coding gene	NA	Ectoderm	Brain	NA	0.279188	0.00420304	0.0159885
Mm Hs	MAGEE1	Interneurons	KIAA1587|DAMAGE	0.022	MAGE family member E1	protein-coding gene	NA	Ectoderm	Brain	NA	0.172589	0.0	0.0260713
Mm Hs	SCAMP1	Interneurons	SCAMP37	0.043	secretory carrier membrane protein 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.472081	0.0139024	0.0451566
Mm Hs	PSD3	Interneurons	KIAA0942|HCA67|EFA6R|DKFZp761K1423|EFA6D	0.023	pleckstrin and Sec7 domain containing 3	protein-coding gene	NA	Ectoderm	Brain	NA	0.543147	0.0252182	0.0164206
Mm Hs	RORA	Interneurons	RZRA|ROR1|ROR2|ROR3|NR1F1	0.043	RAR related orphan receptor A	protein-coding gene	NA	Ectoderm	Brain	NA	0.263959	0.014549	0.0486856
Mm Hs	DCAF7	Interneurons	HAN11|SWAN-1|WDR68	0.053	DDB1 and CUL4 associated factor 7	protein-coding gene	NA	Ectoderm	Brain	NA	0.111675	0.101196	0.0363702
Mm Hs	VGF	Interneurons	SCG7|SgVII	0.022	VGF nerve growth factor inducible	protein-coding gene	NA	Ectoderm	Brain	NA	0.208122	0.0129324	0.0209579
Mm Hs	EID2	Interneurons	EID-2|MGC20452|CRI2	0.004	EP300 interacting inhibitor of differentiation 2	protein-coding gene	NA	Ectoderm	Brain	NA	0.0507614	0.00193986	0.00324091
Mm Hs	RGMA	Interneurons	RGM|RGMa	0.008	repulsive guidance molecule BMP co-receptor a	protein-coding gene	NA	Ectoderm	Brain	NA	0.035533	0.0210152	0.00439323
Mm Hs	SCRT1	Interneurons	DKFZp547F072|ZNF898	0.004	scratch family transcriptional repressor 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.0456853	0.0	0.00496939
Mm Hs	POU2F2	Interneurons	OTF2	0.029	POU class 2 homeobox 2	protein-coding gene	NA	Ectoderm	Brain	NA	0.0406091	0.0193986	0.0298163
Mm Hs	NBEA	Interneurons	KIAA1544|BCL8B|FLJ10197|LYST2	0.034	neurobeachin	protein-coding gene	NA	Ectoderm	Brain	NA	0.335025	0.00484966	0.0379546
Mm Hs	SRGAP1	Interneurons	KIAA1304|ARHGAP13	0.026	SLIT-ROBO Rho GTPase activating protein 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.0558376	0.0827675	0.0116673
Mm Hs	FCHSD2	Interneurons	KIAA0769|SH3MD3	0.003	FCH and double SH3 domains 2	protein-coding gene	NA	Ectoderm	Brain	NA	0.0456853	0.00161655	0.00259273
Mm Hs	SLC16A1	Interneurons	NA	0.035	solute carrier family 16 member 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.0558376	0.0510831	0.0288801
Mm Hs	SLC36A1	Interneurons	LYAAT-1|TRAMD3	0.006	solute carrier family 36 member 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.071066	0.00452635	0.00583363
Mm Hs	ATG12	Interneurons	APG12|APG12L	0.048	autophagy related 12	protein-coding gene	NA	Ectoderm	Brain	NA	0.071066	0.108956	0.0243428
Mm Hs	SLC17A6	Interneurons	DNPI|VGLUT2	0.017	solute carrier family 17 member 6	protein-coding gene	NA	Ectoderm	Brain	NA	0.182741	0.000323311	0.0195895
Mm Hs	AGAP1	Interneurons	KIAA1099|GGAP1|CENTG2	0.026	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.101523	0.00387973	0.0309687
Mm Hs	ZDHHC22	Interneurons	C14orf59	0.009	zinc finger DHHC-type containing 22	protein-coding gene	NA	Ectoderm	Brain	NA	0.19797	0.0	0.00907454
Mm Hs	ACBD5	Interneurons	DKFZp434A2417|KIAA1996	0.02	acyl-CoA binding domain containing 5	protein-coding gene	NA	Ectoderm	Brain	NA	0.071066	0.0113159	0.0225423
Mm Hs	AQP4	Interneurons	MIWC	0.026	aquaporin 4	protein-coding gene	NA	Ectoderm	Brain	NA	0.0507614	0.00452635	0.0315448
Mm Hs	TMEM163	Interneurons	DKFZP566N034|SV31	0.028	transmembrane protein 163	protein-coding gene	NA	Ectoderm	Brain	NA	0.15736	0.000646621	0.0340655
Mm Hs	ZDHHC17	Interneurons	HIP14|HYPH|KIAA0946	0.01	zinc finger DHHC-type containing 17	protein-coding gene	NA	Ectoderm	Brain	NA	0.121827	0.00129324	0.0115952
Mm	KITL	Interneurons	NA	0.038	kit ligand	protein coding gene	NA	Ectoderm	Brain	NA	0.137056	0.0	0.0470292
Mm Hs	ZIC4	Interneurons	NA	0.004	Zic family member 4	protein-coding gene	NA	Ectoderm	Brain	NA	0.0507614	0.00161655	0.00410515
Mm Hs	NEFM	Interneurons	NFM|NF-M|NEF3	0.029	neurofilament medium	protein-coding gene	NA	Ectoderm	Brain	NA	0.152284	0.0206919	0.0275837
Mm Hs	L1CAM	Interneurons	CD171|HSAS1|SPG1|HSAS|MIC5	0.019	L1 cell adhesion molecule	protein-coding gene	NA	Ectoderm	Brain	NA	0.177665	0.00161655	0.02139
Mm Hs	IDS	Interneurons	SIDS	0.042	iduronate 2-sulfatase	protein-coding gene	NA	Ectoderm	Brain	NA	0.269036	0.0840608	0.0282319
Mm Hs	DNM3	Interneurons	KIAA0820	0.046	dynamin 3	protein-coding gene	NA	Ectoderm	Brain	NA	0.248731	0.00323311	0.0556716
Mm Hs	DNAJC6	Interneurons	KIAA0473|PARK19	0.02	DnaJ heat shock protein family (Hsp40) member C6	protein-coding gene	NA	Ectoderm	Brain	NA	0.324873	0.00161655	0.0207418
Mm Hs	ADGRA1	Interneurons	KIAA1828|GPR123	0.009	adhesion G protein-coupled receptor A1	protein-coding gene	NA	Ectoderm	Brain	NA	0.19797	0.0	0.00900252
Mm Hs	DZANK1	Interneurons	FLJ10600|dJ568F9.2|FLJ30892|bA189K21.8|ANKRD64|C20orf84|C20orf12	0.017	double zinc ribbon and ankyrin repeat domains 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.22335	0.000646621	0.0182931
Mm Hs	SCN2B	Interneurons	NA	0.038	sodium voltage-gated channel beta subunit 2	protein-coding gene	NA	Ectoderm	Brain	NA	0.522843	0.000646621	0.0411235
Mm Hs	HSPA12A	Interneurons	FLJ13874|KIAA0417	0.013	heat shock protein family A (Hsp70) member 12A	protein-coding gene	NA	Ectoderm	Brain	NA	0.253807	0.0	0.0138999
Mm Hs	SYT13	Interneurons	KIAA1427	0.031	synaptotagmin 13	protein-coding gene	NA	Ectoderm	Brain	NA	0.472081	0.00711284	0.032049
Mm Hs	RAMP3	Interneurons	NA	0.013	receptor activity modifying protein 3	protein-coding gene	NA	Ectoderm	Brain	NA	0.116751	0.0151956	0.0111631
Mm Hs	LYNX1	Interneurons	SLURP2	0.021	Ly6/neurotoxin 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.507614	0.000323311	0.0196615
Mm Hs	KCNA2	Interneurons	Kv1.2	0.021	potassium voltage-gated channel subfamily A member 2	protein-coding gene	NA	Ectoderm	Brain	NA	0.370558	0.0	0.0220382
Mm Hs	OXR1	Interneurons	TLDC3	0.049	oxidation resistance 1	protein-coding gene	NA	Ectoderm	Brain	NA	0.401015	0.0465567	0.0462369
Mm Hs	DISP2	Interneurons	DISPB|KIAA1742|HsT16908|LINC00594|C15orf36	0.032	dispatched RND transporter family member 2	protein-coding gene	NA	Ectoderm	Brain	NA	0.467005	0.000323311	0.0350018
Mm Hs	PCSK2	Interneurons	SPC2|NEC2	0.035	proprotein convertase subtilisin/kexin type 2	protein-coding gene	NA	Ectoderm	Brain	NA	0.497462	0.0255415	0.031977
Mm Hs	SHOX2	Interneurons	SHOT|OG12X|OG12	0.004	short stature homeobox 2	protein-coding gene	NA	Ectoderm	Brain	NA	0.0964467	0.00355642	0.00352899
